Date;Time;Timestamp;PM2_5(ug/m3);AQI(US);AQI(CN);PM10(ug/m3);PM1(ug/m3);Outdoor AQI(US);Outdoor AQI(CN);Temperature(C);Temperature(F);Humidity(%RH);CO2(ppm)
2021/11/01;00:06:36;1635725196;124.0;186;164;318.0;118.7;182;150;27.8;82.1;60;485;
2021/11/01;00:21:36;1635726096;112.4;180;147;253.0;107.0;178;140;27.8;82.0;60;476;
2021/11/01;00:36:36;1635726996;107.0;178;140;225.0;101.6;178;140;27.9;82.2;62;575;
2021/11/01;00:51:36;1635727896;118.7;184;156;311.0;113.3;178;140;27.7;81.9;62;501;
2021/11/01;01:06:36;1635728796;126.7;188;167;324.0;121.3;178;140;27.6;81.7;60;466;
2021/11/01;01:21:36;1635729696;119.6;184;157;324.0;114.2;178;141;27.5;81.6;60;467;
2021/11/01;01:36:36;1635730596;120.4;185;159;279.0;114.2;178;141;27.6;81.6;62;493;
2021/11/01;01:51:36;1635731496;92.7;170;123;177.0;89.1;178;141;28.0;82.4;62;568;
2021/11/01;02:06:36;1635732396;81.0;164;108;150.0;78.3;178;141;28.3;82.9;62;645;
2021/11/01;02:21:36;1635733296;75.6;161;102;92.0;72.0;186;163;28.4;83.1;62;699;
2021/11/01;02:36:36;1635734196;81.0;164;108;148.0;78.3;186;163;28.5;83.3;63;733;
2021/11/01;02:51:36;1635735096;74.7;161;100;141.0;72.9;186;163;28.5;83.4;63;773;
2021/11/01;03:06:36;1635735996;111.5;180;146;212.0;110.6;186;163;28.6;83.5;64;792;
2021/11/01;03:21:36;1635736896;95.3;172;126;189.0;94.4;189;170;28.6;83.5;64;804;
2021/11/01;03:36:36;1635737796;83.7;166;112;156.0;81.9;189;170;28.6;83.6;64;814;
2021/11/01;03:51:36;1635738696;77.4;162;104;156.0;76.5;189;170;28.7;83.6;64;822;
2021/11/01;04:06:36;1635739596;79.2;163;106;131.0;78.3;189;170;28.7;83.6;64;827;
2021/11/01;04:21:36;1635740496;127.6;188;169;250.0;124.0;177;138;28.1;82.5;60;532;
2021/11/01;04:36:32;1635741392;132.1;191;175;335.0;125.8;177;138;27.7;81.8;59;473;
2021/11/01;04:51:32;1635742292;146.4;198;195;343.0;138.4;177;138;27.3;81.1;60;469;
2021/11/01;05:06:32;1635743192;139.3;194;185;277.0;130.3;177;138;27.2;80.9;60;474;
2021/11/01;05:21:32;1635744092;140.2;195;186;309.0;131.2;184;156;27.2;81.0;62;480;
2021/11/01;05:36:32;1635744992;159.0;209;210;339.0;150.0;184;156;27.2;81.0;62;498;
2021/11/01;05:51:32;1635745892;163.5;214;214;369.0;152.7;184;156;27.1;80.8;63;503;
2021/11/01;06:06:32;1635746792;162.6;213;213;383.0;150.9;184;156;27.0;80.5;64;506;
2021/11/01;06:21:32;1635747692;142.0;196;189;315.0;132.1;184;156;27.2;80.9;64;572;
2021/11/01;06:36:32;1635748592;151.8;202;203;345.0;141.1;184;156;27.1;80.7;65;611;
2021/11/01;06:51:32;1635749492;173.3;224;224;360.0;161.7;184;156;27.0;80.6;66;627;
2021/11/01;07:06:32;1635750392;175.1;225;226;407.0;163.5;184;156;27.2;81.0;68;689;
2021/11/01;07:21:32;1635751292;188.6;239;239;454.0;177.8;184;156;27.4;81.3;67;667;
2021/11/01;07:36:32;1635752192;1439.3;1120;1120;2000.0;1398.9;184;156;27.4;81.4;67;658;
2021/11/01;07:51:32;1635753092;313.2;363;364;566.0;296.2;184;156;27.6;81.6;66;586;
2021/11/01;08:06:32;1635753992;214.6;265;265;459.0;202.9;0;0;27.5;81.6;63;545;
2021/11/01;08:21:32;1635754892;103.4;176;136;183.0;98.0;0;0;27.4;81.4;57;492;
2021/11/01;08:36:32;1635755792;89.1;168;118;169.0;83.7;0;0;27.5;81.5;57;497;
