Title:,"Time Series, Area-Averaged of Aerosol Optical Depth 550 nm (Deep Blue, Land-only) ()"
User Start Date:,2017-01-01T00:00:00Z
User End Date:,2021-12-31T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2017-01-01T00:00:00Z&endtime=2021-12-31T23:59:59Z&shape=state_dept_countries_2017/shp_22&&data=MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean&variableFacets=dataFieldMeasurement%3AAerosol%20Optical%20Depth%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean):, -9999

time, mean_MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean
2017-01-01,0.600190449
2017-01-02,0.418893323
2017-01-03,0.482987211
2017-01-04,0.433491083
2017-01-05,0.404293067
2017-01-06,0.315073505
2017-01-07,0.276454856
2017-01-08,0.340885229
2017-01-09,0.457947441
2017-01-10,0.814128891
2017-01-11,0.779955899
2017-01-12,0.614742265
2017-01-13,0.49061051
2017-01-14,0.408601875
2017-01-15,0.374763169
2017-01-16,0.40280477
2017-01-17,0.566774409
2017-01-18,0.444530085
2017-01-19,0.287234723
2017-01-20,0.33115387
2017-01-21,0.323238372
2017-01-22,0.300917606
2017-01-23,0.494970059
2017-01-24,0.534498949
2017-01-25,0.225575758
2017-01-26,0.227642987
2017-01-27,0.259109115
2017-01-28,0.741903132
2017-01-29,0.40848824
2017-01-30,0.61462759
2017-01-31,0.722675084
2017-02-01,1.02244379
2017-02-02,0.597092853
2017-02-03,0.569571652
2017-02-04,0.327669688
2017-02-05,0.167726924
2017-02-06,0.28051778
2017-02-07,0.531434717
2017-02-08,0.358763589
2017-02-09,0.436136556
2017-02-10,0.639984515
2017-02-11,0.911015187
2017-02-12,0.813906891
2017-02-13,0.865191796
2017-02-14,0.993542741
2017-02-15,0.496146266
2017-02-16,0.552730494
2017-02-17,0.565857229
2017-02-18,0.823526172
2017-02-19,1.69026457
2017-02-20,2.19789339
2017-02-21,0.739587966
2017-02-22,0.577307917
2017-02-23,0.557765544
2017-02-24,0.31119756
2017-02-25,0.325697954
2017-02-26,0.404341084
2017-02-27,0.506284761
2017-02-28,0.460709412
2017-03-01,0.516622133
2017-03-02,0.422798118
2017-03-03,0.768709744
2017-03-04,0.631076952
2017-03-05,1.26620235
2017-03-06,0.755899827
2017-03-07,0.521165483
2017-03-08,0.584974319
2017-03-09,1.2451125
2017-03-10,2.31702143
2017-03-11,1.59100008
2017-03-12,1.08860426
2017-03-13,0.343274394
2017-03-14,0.349538412
2017-03-15,0.362008153
2017-03-16,0.312068415
2017-03-17,0.487453155
2017-03-18,1.10572368
2017-03-19,0.412205721
2017-03-20,0.451389465
2017-03-21,0.688699511
2017-03-22,0.782214533
2017-03-23,1.1341439
2017-03-24,1.24434561
2017-03-25,0.809804448
2017-03-26,0.874595584
2017-03-27,0.770276258
2017-03-28,0.967242623
2017-03-29,1.13774161
2017-03-30,0.490506839
2017-03-31,0.815034484
2017-04-01,0.390310883
2017-04-02,0.678231353
2017-04-03,0.569474227
2017-04-04,2.3552822
2017-04-05,0.604350006
2017-04-06,2.72000013
2017-04-07,1.00028248
2017-04-08,0.927571515
2017-04-09,0.837503889
2017-04-10,0.357778483
2017-04-11,0.438552965
2017-04-12,0.318879614
2017-04-13,0.450171755
2017-04-14,0.565691909
2017-04-15,0.846242652
2017-04-16,0.425147754
2017-04-17,0.219747807
2017-04-18,1.51625889
2017-04-19,1.00893755
2017-04-20,-9999
2017-04-21,0.83700004
2017-04-22,1.70300008
2017-04-23,0.507973171
2017-04-24,0.502850128
2017-04-25,0.706059938
2017-04-26,0.330950273
2017-04-27,0.56152503
2017-04-28,0.607080942
2017-04-29,0.679328227
2017-04-30,0.942311933
2017-05-01,0.791067163
2017-05-02,0.387123257
2017-05-03,0.536841216
2017-05-04,0.586566389
2017-05-05,0.456854971
2017-05-06,0.91425694
2017-05-07,0.477184003
2017-05-08,0.980748724
2017-05-09,1.60619485
2017-05-10,0.606688318
2017-05-11,1.00720671
2017-05-12,0.216581397
2017-05-13,1.25500828
2017-05-14,0.908940352
2017-05-15,2.80797305
2017-05-16,0.552883425
2017-05-17,1.05168805
2017-05-18,0.441983611
2017-05-19,0.3109471
2017-05-20,0.691311333
2017-05-21,0.364305759
2017-05-22,0.521630487
2017-05-23,0.802614743
2017-05-24,2.48973274
2017-05-25,0.676351538
2017-05-26,0.681932468
2017-05-27,0.529061237
2017-05-28,0.265771881
2017-05-29,0.366836309
2017-05-30,-9999
2017-05-31,-9999
2017-06-01,1.01757103
2017-06-02,-nan
2017-06-03,0.690832222
2017-06-04,0.757756221
2017-06-05,0.653710763
2017-06-06,0.830166857
2017-06-07,0.468793153
2017-06-08,0.733989621
2017-06-09,0.390241403
2017-06-10,0.620386539
2017-06-11,-nan
2017-06-12,-9999
2017-06-13,0.708979061
2017-06-14,-nan
2017-06-15,0.656421083
2017-06-16,-9999
2017-06-17,1.27700006
2017-06-18,1.76257035
2017-06-19,1.12600005
2017-06-20,-9999
2017-06-21,0.650023244
2017-06-22,-nan
2017-06-23,-nan
2017-06-24,0.349039184
2017-06-25,0.176233827
2017-06-26,1.13779523
2017-06-27,0.0910000043
2017-06-28,-9999
2017-06-29,0.325398357
2017-06-30,-9999
2017-07-01,-9999
2017-07-02,-9999
2017-07-03,-9999
2017-07-04,-9999
2017-07-05,0.510000024
2017-07-06,0.196662259
2017-07-07,-9999
2017-07-08,-9999
2017-07-09,-9999
2017-07-10,-9999
2017-07-11,-9999
2017-07-12,-nan
2017-07-13,0.35997053
2017-07-14,0.301000014
2017-07-15,0.227150749
2017-07-16,0.183516513
2017-07-17,0.313532425
2017-07-18,0.122658109
2017-07-19,-9999
2017-07-20,-9999
2017-07-21,-nan
2017-07-22,0.245312306
2017-07-23,-nan
2017-07-24,-9999
2017-07-25,-9999
2017-07-26,-nan
2017-07-27,0.462000022
2017-07-28,0.709876887
2017-07-29,-nan
2017-07-30,0.533809544
2017-07-31,0.494596251
2017-08-01,-nan
2017-08-02,-9999
2017-08-03,-9999
2017-08-04,0.492000023
2017-08-05,-nan
2017-08-06,-9999
2017-08-07,-9999
2017-08-08,-9999
2017-08-09,-9999
2017-08-10,-9999
2017-08-11,-9999
2017-08-12,-9999
2017-08-13,-9999
2017-08-14,-nan
2017-08-15,-nan
2017-08-16,-9999
2017-08-17,-nan
2017-08-18,0.317755975
2017-08-19,-nan
2017-08-20,0.530000025
2017-08-21,0.332257117
2017-08-22,0.325413854
2017-08-23,0.17657466
2017-08-24,0.217924755
2017-08-25,0.283621835
2017-08-26,-9999
2017-08-27,0.164539112
2017-08-28,0.201657933
2017-08-29,0.388230361
2017-08-30,-nan
2017-08-31,-9999
2017-09-01,0.687333366
2017-09-02,-nan
2017-09-03,0.440000021
2017-09-04,0.381133351
2017-09-05,1.00296188
2017-09-06,0.737467534
2017-09-07,0.738740981
2017-09-08,1.16900006
2017-09-09,-9999
2017-09-10,1.57508584
2017-09-11,-9999
2017-09-12,0.492546502
2017-09-13,-nan
2017-09-14,-nan
2017-09-15,0.326545086
2017-09-16,0.217409147
2017-09-17,0.377000018
2017-09-18,-9999
2017-09-19,-nan
2017-09-20,-9999
2017-09-21,0.450827301
2017-09-22,0.350000017
2017-09-23,0.450397987
2017-09-24,0.525146131
2017-09-25,0.38064505
2017-09-26,0.513933566
2017-09-27,0.540000026
2017-09-28,0.740133335
2017-09-29,-9999
2017-09-30,-nan
2017-10-01,0.223205437
2017-10-02,0.15400083
2017-10-03,0.22510038
2017-10-04,0.199782151
2017-10-05,0.0962840363
2017-10-06,0.247636016
2017-10-07,0.138446756
2017-10-08,0.227970143
2017-10-09,0.170398226
2017-10-10,0.189925699
2017-10-11,0.164155308
2017-10-12,0.211955571
2017-10-13,0.378813561
2017-10-14,0.445793156
2017-10-15,0.778869155
2017-10-16,0.764261656
2017-10-17,0.487029952
2017-10-18,0.240129198
2017-10-19,0.140436179
2017-10-20,-9999
2017-10-21,-nan
2017-10-22,0.312020354
2017-10-23,0.608687675
2017-10-24,0.967225139
2017-10-25,0.784251317
2017-10-26,0.685135687
2017-10-27,0.509865365
2017-10-28,0.457480964
2017-10-29,0.393700616
2017-10-30,0.843533111
2017-10-31,0.561634107
2017-11-01,0.36438944
2017-11-02,0.238511494
2017-11-03,0.150654543
2017-11-04,0.109751979
2017-11-05,0.133496378
2017-11-06,0.108233039
2017-11-07,0.14253013
2017-11-08,0.153449876
2017-11-09,0.204160859
2017-11-10,0.163029522
2017-11-11,0.145052179
2017-11-12,0.122926634
2017-11-13,0.113948868
2017-11-14,0.0804273741
2017-11-15,-nan
2017-11-16,-nan
2017-11-17,0.244952882
2017-11-18,0.189253533
2017-11-19,0.260753207
2017-11-20,0.511162357
2017-11-21,0.481309302
2017-11-22,0.593539579
2017-11-23,0.719565898
2017-11-24,0.538392099
2017-11-25,0.496868163
2017-11-26,0.445216422
2017-11-27,0.581784881
2017-11-28,0.823675301
2017-11-29,0.628149081
2017-11-30,0.300466226
2017-12-01,0.166160223
2017-12-02,0.160096158
2017-12-03,0.222791974
2017-12-04,0.258035176
2017-12-05,0.207562876
2017-12-06,0.262284959
2017-12-07,0.148759681
2017-12-08,0.35411229
2017-12-09,-nan
2017-12-10,0.127333339
2017-12-11,0.18501358
2017-12-12,0.541702115
2017-12-13,0.97893049
2017-12-14,0.494687233
2017-12-15,0.437163439
2017-12-16,0.533432312
2017-12-17,0.577966206
2017-12-18,0.472468812
2017-12-19,0.357154478
2017-12-20,0.342558424
2017-12-21,0.329953118
2017-12-22,0.346545549
2017-12-23,0.58857655
2017-12-24,0.504931404
2017-12-25,0.45254354
2017-12-26,0.46290632
2017-12-27,0.298635704
2017-12-28,0.246721033
2017-12-29,0.182183799
2017-12-30,0.142207362
2017-12-31,0.158852938
2018-01-01,0.2852583
2018-01-02,0.455336495
2018-01-03,0.666041125
2018-01-04,0.504801099
2018-01-05,0.445188154
2018-01-06,0.341752005
2018-01-07,0.541109692
2018-01-08,0.394121019
2018-01-09,0.371788386
2018-01-10,0.730257335
2018-01-11,0.937516804
2018-01-12,1.27792719
2018-01-13,1.46178072
2018-01-14,2.03739263
2018-01-15,0.852919696
2018-01-16,0.816006249
2018-01-17,0.549701127
2018-01-18,0.47852097
2018-01-19,0.441511073
2018-01-20,0.53869072
2018-01-21,0.595222752
2018-01-22,0.521427589
2018-01-23,0.489175883
2018-01-24,0.56137096
2018-01-25,0.818895798
2018-01-26,0.875544509
2018-01-27,0.723984884
2018-01-28,0.708101267
2018-01-29,0.676979711
2018-01-30,1.01054912
2018-01-31,1.07428608
2018-02-01,1.22119569
2018-02-02,1.96053816
2018-02-03,1.46317133
2018-02-04,0.916647842
2018-02-05,0.777384556
2018-02-06,0.830527269
2018-02-07,0.668074803
2018-02-08,0.637578197
2018-02-09,0.800040766
2018-02-10,1.37299823
2018-02-11,0.563158401
2018-02-12,0.310254728
2018-02-13,0.419445593
2018-02-14,0.470042006
2018-02-15,0.363413925
2018-02-16,0.345664403
2018-02-17,0.566467251
2018-02-18,0.736969731
2018-02-19,0.629686706
2018-02-20,0.739966737
2018-02-21,0.79667552
2018-02-22,0.828646022
2018-02-23,0.745460238
2018-02-24,0.713304501
2018-02-25,0.757904602
2018-02-26,0.612127443
2018-02-27,0.650578634
2018-02-28,0.55637025
2018-03-01,1.48977365
2018-03-02,0.875639448
2018-03-03,0.599392184
2018-03-04,0.446956597
2018-03-05,0.894554219
2018-03-06,0.740519712
2018-03-07,0.311654406
2018-03-08,0.299257874
2018-03-09,0.513732831
2018-03-10,0.479873494
2018-03-11,0.438278603
2018-03-12,0.67519398
2018-03-13,0.582643779
2018-03-14,0.768919844
2018-03-15,1.4512503
2018-03-16,0.985941075
2018-03-17,0.76355319
2018-03-18,0.652641354
2018-03-19,0.411850169
2018-03-20,0.466059883
2018-03-21,0.644652909
2018-03-22,0.907623323
2018-03-23,1.0872245
2018-03-24,1.59294003
2018-03-25,0.907159729
2018-03-26,1.69742059
2018-03-27,1.30015095
2018-03-28,1.28390137
2018-03-29,1.15198348
2018-03-30,0.711838097
2018-03-31,1.01654101
2018-04-01,0.404682714
2018-04-02,0.480000023
2018-04-03,0.784823749
2018-04-04,0.646437752
2018-04-05,0.831373675
2018-04-06,1.00502264
2018-04-07,1.77873023
2018-04-08,0.502422946
2018-04-09,2.27219231
2018-04-10,0.558616492
2018-04-11,1.09344966
2018-04-12,0.61778986
2018-04-13,0.422555386
2018-04-14,0.689472071
2018-04-15,0.39066462
2018-04-16,0.954024733
2018-04-17,1.00894148
2018-04-18,0.469951591
2018-04-19,0.60702242
2018-04-20,0.412714559
2018-04-21,1.98020863
2018-04-22,1.01628473
2018-04-23,0.37948503
2018-04-24,0.396007549
2018-04-25,0.558588183
2018-04-26,0.762497643
2018-04-27,0.521535867
2018-04-28,0.728300677
2018-04-29,0.642965468
2018-04-30,0.618000029
2018-05-01,0.400177116
2018-05-02,-nan
2018-05-03,0.434316865
2018-05-04,0.495267456
2018-05-05,0.580167983
2018-05-06,1.79716038
2018-05-07,1.75104645
2018-05-08,0.587222437
2018-05-09,1.5099515
2018-05-10,0.47765871
2018-05-11,0.934178743
2018-05-12,0.37336565
2018-05-13,1.14138942
2018-05-14,0.56386874
2018-05-15,0.615206177
2018-05-16,0.274000013
2018-05-17,0.528651942
2018-05-18,-nan
2018-05-19,0.843973045
2018-05-20,0.737806183
2018-05-21,1.8363854
2018-05-22,0.636961143
2018-05-23,0.39275941
2018-05-24,-nan
2018-05-25,1.06376476
2018-05-26,0.74979482
2018-05-27,0.368593522
2018-05-28,0.553791336
2018-05-29,0.402607853
2018-05-30,0.839778668
2018-05-31,0.994811099
2018-06-01,0.989000047
2018-06-02,0.681191701
2018-06-03,0.953107718
2018-06-04,0.99742736
2018-06-05,0.553443855
2018-06-06,0.434528884
2018-06-07,0.297363602
2018-06-08,0.557000026
2018-06-09,0.470580825
2018-06-10,0.344000016
2018-06-11,0.293000014
2018-06-12,-9999
2018-06-13,1.25512541
2018-06-14,1.60743367
2018-06-15,0.919859462
2018-06-16,1.37004138
2018-06-17,1.10000005
2018-06-18,1.29056635
2018-06-19,1.03911467
2018-06-20,1.26005169
2018-06-21,1.39816712
2018-06-22,1.26704871
2018-06-23,0.799666705
2018-06-24,-9999
2018-06-25,-nan
2018-06-26,-9999
2018-06-27,0.298333348
2018-06-28,-9999
2018-06-29,1.56800007
2018-06-30,-nan
2018-07-01,-nan
2018-07-02,1.24000006
2018-07-03,-9999
2018-07-04,-9999
2018-07-05,-9999
2018-07-06,0.721363192
2018-07-07,0.286941588
2018-07-08,-9999
2018-07-09,0.157055814
2018-07-10,-nan
2018-07-11,0.271614167
2018-07-12,-9999
2018-07-13,-9999
2018-07-14,0.334284188
2018-07-15,0.21100001
2018-07-16,-nan
2018-07-17,-9999
2018-07-18,0.302731137
2018-07-19,0.207320671
2018-07-20,0.524004592
2018-07-21,-nan
2018-07-22,-9999
2018-07-23,-9999
2018-07-24,-9999
2018-07-25,-9999
2018-07-26,-nan
2018-07-27,-nan
2018-07-28,-9999
2018-07-29,-9999
2018-07-30,-9999
2018-07-31,-9999
2018-08-01,-9999
2018-08-02,-9999
2018-08-03,-nan
2018-08-04,-9999
2018-08-05,-nan
2018-08-06,-nan
2018-08-07,1.66266799
2018-08-08,-9999
2018-08-09,-nan
2018-08-10,0.312884631
2018-08-11,-nan
2018-08-12,-nan
2018-08-13,-9999
2018-08-14,0.313665115
