time, mean_MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean,Station_mean_raw_PM2.5,Maximum Temperature,Minimum Temperature,Average Temperature,Heat Index,Rain Precipitation,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
2017-01-01,0.600190449,231.5,26,16,20.5,,0,6.9,50.21,,1.2,16.3,73.17,Clear
2017-01-02,0.418893323,209.6,27,16,20.9,27.1,0,6.9,65.25,,1.4,16.8,72.88,Clear
2017-01-03,0.482987211,181.9,27,16.8,21.4,27.1,0,9.2,169.75,,1.7,14.4,69.74,Clear
2017-01-04,0.433491083,127.7,26.1,16,20.8,,0,11.4,279.21,,2,0.2,67.64,Clear
2017-01-05,0.404293067,206.8,24,15.8,19.6,,0,10.3,294.58,,1.2,20,79.39,Clear
2017-01-06,0.315073505,227.4,24,15.7,19.1,,0,11.4,253.5,,1,13.2,80.34,Clear
2017-01-07,0.276454856,227.1,25,14,18.9,,0,8.1,244.33,,1.3,28.2,73.95,Partially cloudy
2017-01-08,0.340885229,143.4,27,15.7,20.3,26.8,0,11.4,106.67,,1.8,9.8,65.89,Clear
2017-01-09,0.457947441,199.9,26.4,15.8,20.5,,0,11.4,132.86,,2,0,64.03,Clear
2017-01-10,0.814128891,184,26,15.8,20.1,,0,13.9,175.67,,2.1,29.5,66.2,Partially cloudy
2017-01-11,0.779955899,176.3,25,14.8,19.7,,0,8.5,275.5,,1.7,6,67.23,Clear
2017-01-12,0.614742265,141.9,26,15.8,19.9,,0,11.4,317.21,,1.8,4.3,62.76,Clear
2017-01-13,0.49061051,120.9,26,13.8,18.1,,0,13.9,313.04,,2.2,0,58.59,Clear
2017-01-14,0.408601875,139.4,24,12,17.4,,0,10.3,288.83,,2.4,0,51.3,Clear
2017-01-15,0.374763169,177.5,25,11.9,18.1,,0,11.4,279.58,,2,0.1,63.78,Clear
2017-01-16,0.40280477,172.4,24.1,14,18.7,,0,10.5,278.92,,1.9,0,61.8,Clear
2017-01-17,0.566774409,254.4,26,13,18.7,,0,10.6,116.75,,1.7,4.2,63.59,Clear
2017-01-18,0.444530085,289.4,26,13.8,19.5,,0,6.9,109.54,,1.7,8.1,65.25,Clear
2017-01-19,0.287234723,183.5,27,13.9,19.9,26.6,0,11.4,233.71,,1.8,4.3,64.76,Clear
2017-01-20,0.33115387,206.2,26,15,20.2,,0,9.2,263.29,,2.2,15.9,61.19,Clear
2017-01-21,0.323238372,193.9,26,14.6,19.8,,0,8.1,253.3,,2.1,0,62.94,Clear
2017-01-22,0.300917606,210.5,28,15.1,20.9,27.3,0,9.2,273.87,,1.8,4.2,64.41,Clear
2017-01-23,0.494970059,213.4,26.9,16,21.1,26.7,0,10.3,238.35,,2.1,0,61.31,Clear
2017-01-24,0.534498949,159.6,27,15.7,21.1,26.5,0,9.2,211,,2,2.1,62.8,Clear
2017-01-25,0.225575758,247.8,28.1,16.8,22.1,27.5,0,6.9,54.54,,1.8,0,66.67,Clear
