Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,Average,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,1/1/2018 1:00,2018,1,1,1,164,150.173913,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 2:00,2018,1,1,2,196,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 3:00,2018,1,1,3,165,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 4:00,2018,1,1,4,141,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 5:00,2018,1,1,5,147,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 6:00,2018,1,1,6,165,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 7:00,2018,1,1,7,197,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 8:00,2018,1,1,8,207,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 9:00,2018,1,1,9,196,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 10:00,2018,1,1,10,140,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 11:00,2018,1,1,11,115,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 12:00,2018,1,1,12,60,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 13:00,2018,1,1,13,65,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 14:00,2018,1,1,14,63,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 15:00,2018,1,1,15,89,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 16:00,2018,1,1,16,117,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2018 17:00,2018,1,1,17,119,,UG/M3,1 Hr,Valid
