Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
,,1/1/2021 0:00,2021,1,1,0,221,UG/M3,Valid,221,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 2:00,2021,1,1,2,218.4,268,Very Unhealthy,221,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 3:00,2021,1,1,3,215.2,265,Very Unhealthy,212,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 4:00,2021,1,1,4,197.1,247,Very Unhealthy,179,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 5:00,2021,1,1,5,188,238,Very Unhealthy,179,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 6:00,2021,1,1,6,179.2,229,Very Unhealthy,155,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 7:00,2021,1,1,7,165,215,Very Unhealthy,142,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 8:00,2021,1,1,8,163.9,214,Very Unhealthy,162,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 9:00,2021,1,1,9,173.2,223,Very Unhealthy,189,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 10:00,2021,1,1,10,199.9,250,Very Unhealthy,239,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 11:00,2021,1,1,11,193.8,244,Very Unhealthy,185,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 12:00,2021,1,1,12,204.4,254,Very Unhealthy,220,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 13:00,2021,1,1,13,136.4,193,Unhealthy,65,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 14:00,2021,1,1,14,108.1,178,Unhealthy,80,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 15:00,2021,1,1,15,88.5,168,Unhealthy,69,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 16:00,2021,1,1,16,81.2,164,Unhealthy,74,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 17:00,2021,1,1,17,76.6,162,Unhealthy,72,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 18:00,2021,1,1,18,78.3,163,Unhealthy,80,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 19:00,2021,1,1,19,103.1,176,Unhealthy,128,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 20:00,2021,1,1,20,132,190,Unhealthy,161,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 21:00,2021,1,1,21,148.5,199,Unhealthy,165,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 22:00,2021,1,1,22,154.2,205,Very Unhealthy,160,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/1/2021 23:00,2021,1,1,23,163.6,214,Very Unhealthy,173,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 0:00,2021,1,2,0,177.8,228,Very Unhealthy,192,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 1:00,2021,1,2,1,174.9,225,Very Unhealthy,172,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 2:00,2021,1,2,2,168.4,219,Very Unhealthy,162,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 3:00,2021,1,2,3,168.7,219,Very Unhealthy,169,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 4:00,2021,1,2,4,168.3,219,Very Unhealthy,168,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 5:00,2021,1,2,5,164.2,215,Very Unhealthy,160,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 6:00,2021,1,2,6,163.8,214,Very Unhealthy,160,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 7:00,2021,1,2,7,166.5,217,Very Unhealthy,168,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 8:00,2021,1,2,8,168.9,219,Very Unhealthy,179,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 9:00,2021,1,2,9,171.8,222,Very Unhealthy,184,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 10:00,2021,1,2,10,173.4,224,Very Unhealthy,179,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 11:00,2021,1,2,11,169.9,220,Very Unhealthy,155,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 12:00,2021,1,2,12,140.8,195,Unhealthy,105,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 13:00,2021,1,2,13,120.2,184,Unhealthy,99,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 14:00,2021,1,2,14,107.9,178,Unhealthy,96,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 15:00,2021,1,2,15,91.8,170,Unhealthy,77,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 16:00,2021,1,2,16,73.9,161,Unhealthy,56,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 17:00,2021,1,2,17,67.9,157,Unhealthy,62,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 18:00,2021,1,2,18,81.4,164,Unhealthy,95,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 19:00,2021,1,2,19,115.7,182,Unhealthy,150,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 20:00,2021,1,2,20,137.8,193,Unhealthy,160,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 21:00,2021,1,2,21,149.9,200,Unhealthy,162,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 22:00,2021,1,2,22,145.4,197,Unhealthy,141,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/2/2021 23:00,2021,1,2,23,146.2,198,Unhealthy,147,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2021 0:00,2021,1,3,0,151.1,202,Very Unhealthy,156,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/3/2021 1:00,2021,1,3,1,152.5,203,Very Unhealthy,154,UG/M3,1 Hr,Valid
