date, pm25
6/1/2021,134
6/2/2021,120
6/3/2021,105
6/4/2021,105
6/5/2021,86
5/1/2021,154
5/2/2021,179
5/3/2021,145
5/4/2021,134
5/5/2021,193
5/6/2021,145
5/7/2021,162
5/8/2021,112
5/9/2021,142
5/10/2021,135
5/11/2021,117
5/12/2021,131
5/13/2021,99
5/14/2021,114
5/15/2021,95
5/16/2021,92
5/17/2021,85
5/18/2021,71
5/19/2021,93
5/20/2021,61
5/21/2021,79
5/22/2021,75
5/23/2021,119
5/24/2021,115
5/25/2021,41
5/26/2021,89
5/27/2021,98
5/28/2021,113
5/29/2021,134
5/30/2021,110
5/31/2021,103
4/1/2021,160
4/2/2021,172
4/3/2021,181
4/4/2021,196
4/5/2021,178
4/6/2021,203
4/7/2021,281
4/11/2021,173
4/12/2021,172
4/13/2021,150
4/14/2021,132
4/15/2021,112
4/16/2021,122
4/17/2021,109
4/18/2021,121
4/19/2021,100
4/20/2021,96
4/21/2021,127
4/22/2021,132
4/23/2021,152
4/24/2021,232
4/25/2021,195
4/26/2021,138
4/27/2021,123
4/28/2021,134
4/29/2021,180
4/30/2021,189
3/1/2021,169
3/2/2021,177
3/3/2021,188
3/4/2021,210
3/5/2021,181
3/6/2021,158
3/7/2021,171
3/8/2021,201
3/9/2021,159
3/10/2021,144
3/11/2021,175
3/12/2021,225
3/13/2021,209
3/14/2021,172
3/15/2021,212
3/16/2021,345
3/17/2021,213
3/18/2021,282
3/19/2021,291
3/20/2021,269
3/21/2021,352
3/22/2021,245
3/23/2021,197
3/24/2021,249
3/25/2021,193
3/26/2021,213
3/27/2021,209
3/28/2021,203
3/29/2021,219
3/30/2021,160
3/31/2021,160
2/1/2021,261
2/2/2021,251
2/3/2021,233
2/4/2021,241
2/5/2021,222
2/6/2021,214
2/7/2021,180
2/8/2021,178
2/9/2021,184
2/10/2021,225
2/11/2021,266
2/12/2021,309
2/13/2021,276
2/14/2021,310
2/15/2021,314
2/16/2021,297
2/17/2021,238
2/18/2021,256
2/19/2021,212
2/20/2021,203
2/21/2021,200
2/22/2021,201
2/23/2021,222
2/24/2021,296
2/25/2021,284
2/26/2021,193
2/27/2021,186
2/28/2021,163
1/4/2021,244
1/5/2021,240
1/6/2021,245
1/7/2021,277
1/8/2021,239
1/9/2021,247
1/10/2021,308
1/11/2021,312
1/12/2021,250
1/13/2021,212
1/14/2021,231
1/15/2021,229
