Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions,,Source:
"????, Bangladesh",1/1/2017,26,16,20.5,,,0,,,6.9,50.21,,1.2,16.3,73.17,Clear,,https://www.visualcrossing.com/weather/weather-data-services#
"????, Bangladesh",1/2/2017,27,16,20.9,,27.1,0,,,6.9,65.25,,1.4,16.8,72.88,Clear,,
"????, Bangladesh",1/3/2017,27,16.8,21.4,,27.1,0,,,9.2,169.75,,1.7,14.4,69.74,Clear,,
"????, Bangladesh",1/4/2017,26.1,16,20.8,,,0,,,11.4,279.21,,2,0.2,67.64,Clear,,
"????, Bangladesh",1/5/2017,24,15.8,19.6,,,0,,,10.3,294.58,,1.2,20,79.39,Clear,,
"????, Bangladesh",1/6/2017,24,15.7,19.1,,,0,,,11.4,253.5,,1,13.2,80.34,Clear,,
"????, Bangladesh",1/7/2017,25,14,18.9,,,0,,,8.1,244.33,,1.3,28.2,73.95,Partially cloudy,,
"????, Bangladesh",1/8/2017,27,15.7,20.3,,26.8,0,,,11.4,106.67,,1.8,9.8,65.89,Clear,,
"????, Bangladesh",1/9/2017,26.4,15.8,20.5,,,0,,,11.4,132.86,,2,0,64.03,Clear,,
"????, Bangladesh",1/10/2017,26,15.8,20.1,,,0,,,13.9,175.67,,2.1,29.5,66.2,Partially cloudy,,
"????, Bangladesh",1/11/2017,25,14.8,19.7,,,0,,,8.5,275.5,,1.7,6,67.23,Clear,,
"????, Bangladesh",1/12/2017,26,15.8,19.9,,,0,,,11.4,317.21,,1.8,4.3,62.76,Clear,,
"????, Bangladesh",1/13/2017,26,13.8,18.1,,,0,,,13.9,313.04,,2.2,0,58.59,Clear,,
"????, Bangladesh",1/14/2017,24,12,17.4,,,0,,,10.3,288.83,,2.4,0,51.3,Clear,,
"????, Bangladesh",1/15/2017,25,11.9,18.1,,,0,,,11.4,279.58,,2,0.1,63.78,Clear,,
"????, Bangladesh",1/16/2017,24.1,14,18.7,,,0,,,10.5,278.92,,1.9,0,61.8,Clear,,
"????, Bangladesh",1/17/2017,26,13,18.7,,,0,,,10.6,116.75,,1.7,4.2,63.59,Clear,,
"????, Bangladesh",1/18/2017,26,13.8,19.5,,,0,,,6.9,109.54,,1.7,8.1,65.25,Clear,,
"????, Bangladesh",1/19/2017,27,13.9,19.9,,26.6,0,,,11.4,233.71,,1.8,4.3,64.76,Clear,,
"????, Bangladesh",1/20/2017,26,15,20.2,,,0,,,9.2,263.29,,2.2,15.9,61.19,Clear,,
