Title:,"Time Series, Area-Averaged of Aerosol Optical Depth 550 nm (Deep Blue, Land-only) ()"
User Start Date:,2021-01-01T00:00:00Z
User End Date:,2021-08-06T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2021-01-01T00:00:00Z&endtime=2021-08-06T23:59:59Z&shape=state_dept_countries_2017/shp_22&&data=MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean&variableFacets=dataFieldMeasurement%3AAerosol%20Optical%20Depth%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean):, -9999

time, mean_MYD08_D3_6_1_Deep_Blue_Aerosol_Optical_Depth_550_Land_Mean
2021-01-01,0.226102859
2021-01-02,0.350530359
2021-01-03,0.313550614
2021-01-04,0.283913271
2021-01-05,0.250551793
2021-01-06,0.257049093
2021-01-07,0.683370629
2021-01-08,0.720649282
2021-01-09,1.02443772
2021-01-10,1.27999754
2021-01-11,2.56103868
2021-01-12,0.950107039
2021-01-13,1.89656238
2021-01-14,1.28565464
2021-01-15,1.4030012
2021-01-16,1.47602492
2021-01-17,1.35430443
2021-01-18,1.2337569
2021-01-19,1.48443181
2021-01-20,2.95932507
2021-01-21,1.02549968
2021-01-22,0.961097426
2021-01-23,0.667098663
2021-01-24,0.64137258
2021-01-25,1.22921197
2021-01-26,0.631393621
2021-01-27,0.445490329
2021-01-28,0.430829192
2021-01-29,0.487267225
2021-01-30,1.28201907
2021-01-31,0.766612301
2021-02-01,0.537094117
2021-02-02,0.522765132
2021-02-03,0.552656343
2021-02-04,0.363877986
2021-02-05,0.276127236
2021-02-06,0.626765495
2021-02-07,0.828182293
2021-02-08,0.43023373
2021-02-09,0.268978361
2021-02-10,0.649571557
2021-02-11,0.857771156
2021-02-12,1.14208758
2021-02-13,0.864192318
2021-02-14,0.908361503
2021-02-15,0.930036653
2021-02-16,0.737266407
2021-02-17,0.672642883
2021-02-18,0.527987744
2021-02-19,0.753037893
2021-02-20,0.458074656
2021-02-21,0.421633363
2021-02-22,0.454259786
2021-02-23,0.499879197
2021-02-24,0.746203598
2021-02-25,0.804362893
2021-02-26,0.644284996
2021-02-27,0.568935587
2021-02-28,0.642465438
2021-03-01,0.621923075
2021-03-02,0.44706523
2021-03-03,0.479187056
2021-03-04,0.576767895
2021-03-05,0.855233195
2021-03-06,0.825564444
2021-03-07,1.25258258
2021-03-08,1.16718272
2021-03-09,1.91480311
2021-03-10,1.47957444
2021-03-11,1.16871349
2021-03-12,1.1684171
2021-03-13,1.62215327
2021-03-14,0.828912805
2021-03-15,0.656754169
2021-03-16,0.488711245
2021-03-17,0.54776322
2021-03-18,0.652457109
2021-03-19,0.705899459
2021-03-20,1.33915197
2021-03-21,0.751072169
2021-03-22,0.694079068
2021-03-23,1.07608067
2021-03-24,1.2399527
2021-03-25,0.508000238
2021-03-26,0.657984872
2021-03-27,0.646923759
2021-03-28,0.975679124
2021-03-29,1.65575138
2021-03-30,2.04113359
2021-03-31,1.35735422
2021-04-01,0.385954609
2021-04-02,0.603976337
2021-04-03,0.560039076
2021-04-04,0.829547929
2021-04-05,0.431193793
2021-04-06,1.19405036
2021-04-07,0.694034324
2021-04-08,2.76996661
2021-04-09,1.38772778
2021-04-10,1.3512126
2021-04-11,0.755604369
2021-04-12,0.831292067
2021-04-13,0.925489483
2021-04-14,0.545207351
2021-04-15,0.562793329
2021-04-16,1.07448208
2021-04-17,0.598202763
2021-04-18,0.763825449
2021-04-19,0.348595477
2021-04-20,0.440315778
2021-04-21,0.893100195
2021-04-22,0.752456153
2021-04-23,0.336651673
2021-04-24,0.442815101
2021-04-25,0.473544865
2021-04-26,0.833109363
2021-04-27,0.783727151
2021-04-28,0.957806629
2021-04-29,0.943684536
2021-04-30,0.974714446
2021-05-01,0.767856444
2021-05-02,1.05656772
2021-05-03,1.90535773
2021-05-04,0.92994735
2021-05-05,0.955460622
2021-05-06,0.578617226
